Model,Stage,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Prediction Time (s),Training Time (s),Best CV Score (f1_weighted),Best Parameters
Random Forest,Baseline,0.8517456203008903,0.7934610562030592,0.8517456203008903,0.7932789173109028,0.34626780832310927,99.38015580177307,1054.9859759807587,N/A,N/A
Random Forest,Sample-Tuned,0.8534448478243261,0.8061140405389332,0.8534448478243261,0.7903311240916387,0.339269005492268,4.546221971511841,595.5886991024017,0.7897014096197505,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 203}"
Random Forest,Final (Retrained),0.8535994904158413,0.812255213940664,0.8535994904158413,0.7915571153201,0.34051942720742184,3.5008955001831055,3089.8352422714233,0.7897014096197505,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 203}"
Extra Trees,Baseline,0.8480783817020995,0.7826648698368854,0.8480783817020995,0.7941458523136958,0.35034321144068015,160.30237364768982,1730.997240781784,N/A,N/A
Extra Trees,Sample-Tuned,0.8531226757586692,0.802542798475354,0.8531226757586692,0.7873225478602874,0.3358539029079626,6.4815897941589355,427.2643988132477,0.7868843563807578,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 251}"
Extra Trees,Final (Retrained),0.8534264379920028,0.8175045286696224,0.8534264379920028,0.7886558709445066,0.3373322342163212,8.437767744064331,758.5437729358673,0.7868843563807578,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 251}"
Gradient Boosting,Baseline,0.8535902854996796,0.8096913522173517,0.8535902854996796,0.790085213790558,0.34010489201197447,8.19170355796814,5919.763141870499,N/A,N/A
Gradient Boosting,Sample-Tuned,0.8518284645463449,0.7933750051970433,0.8518284645463449,0.7930157706046105,0.34728767147890616,11.896043539047241,4963.011702775955,0.7928389259775218,"{'learning_rate': np.float64(0.23770102880397392), 'max_depth': 4, 'n_estimators': 207, 'subsample': np.float64(0.8056937753654446)}"
Gradient Boosting,Final (Retrained),0.854074464089781,0.8080694663384606,0.854074464089781,0.7940279716705899,0.34774561445385777,10.630336999893188,7205.3054847717285,0.7928389259775218,"{'learning_rate': np.float64(0.23770102880397392), 'max_depth': 4, 'n_estimators': 207, 'subsample': np.float64(0.8056937753654446)}"
