Model,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Training Time (s),Prediction Time (s)
Decision Tree,0.7542710810989933,0.38564904130203753,0.3928555074017058,0.3886848662338007,0.3928555074017058,105.07441401481628,0.5902426242828369
Gaussian Naive Bayes,0.6115654248621104,0.37637860694484443,0.48391090006198656,0.352271659936455,0.48391090006198656,19.03943943977356,2.9511773586273193
Extra Trees,0.8480783817020995,0.5008472253210271,0.35034321144068015,0.3443247868585357,0.35034321144068015,988.295520067215,108.76504158973694
K-Nearest Neighbors,0.8341145238849165,0.38728221824924164,0.34626132459810427,0.3409060448901873,0.34626132459810427,7.0134992599487305,2798.0817017555237
Random Forest,0.8517456203008903,0.5735453809387443,0.34626780832310927,0.3350693338148225,0.34626780832310927,1122.7166419029236,41.658416748046875
Gradient Boosting,0.8535902854996796,0.6461459354521896,0.34010489201197447,0.321361508402451,0.34010489201197447,2929.899892807007,5.59796142578125
AdaBoost,0.8527287053469517,0.485721973275762,0.33356242650147977,0.3073378544166307,0.33356242650147977,317.16779112815857,9.231788873672485
Logistic Regression,0.8526900446990728,0.497211522488263,0.33352424515837914,0.3072614322256709,0.33352424515837914,3327.1352167129517,1.0678274631500244
